year,detections,event_days,new_events,frp_sum,days_with_activity,peak_active_events,days,peak_day,largest_event_detections,longest_event_days,complete
2012,2081,1196,1129,10472.9,201,129,347,2012-03-27,29,5,True
2013,2096,1097,1013,10067.2,226,72,365,2013-07-12,79,7,True
2014,1578,1016,932,6687.1,244,85,365,2014-03-12,33,8,True
2015,1970,1284,1206,9617.0,246,82,365,2015-04-09,45,6,True
2016,1644,1097,1045,6626.8,246,87,366,2016-11-06,26,6,True
2017,2272,1238,1143,9414.8,240,101,365,2017-03-27,66,7,True
2018,5750,1948,1812,31949.5,269,47,365,2018-07-12,909,11,True
2019,5873,2332,2126,35495.0,267,139,365,2019-02-26,514,6,True
2020,3781,1780,1676,18885.4,260,38,366,2020-04-15,174,5,True
2021,2960,1673,1573,12945.3,255,50,365,2021-03-17,75,6,True
2022,5130,2205,2003,32860.6,281,114,365,2022-03-23,107,11,True
2023,3056,1442,1356,14528.5,252,60,365,2023-09-04,346,8,True
2024,3103,1491,1395,14617.3,263,51,366,2024-07-12,42,5,True
2025,13855,3523,3180,91723.5,303,140,365,2025-03-19,898,10,True
2026,11194,2709,2415,84565.4,192,88,241,2026-07-12,1381,15,False
