eps_m,gap_days,year,events
1000,1,2012,1173
1000,1,2013,1054
1000,1,2014,966
1000,1,2015,1239
1000,1,2016,1068
1000,1,2017,1199
1000,1,2018,1880
1000,1,2019,2235
1000,1,2020,1726
1000,1,2021,1643
1000,1,2022,2094
1000,1,2023,1393
1000,1,2024,1460
1000,1,2025,3352
1000,1,2026,2472
1000,2,2012,1161
1000,2,2013,1040
1000,2,2014,950
1000,2,2015,1227
1000,2,2016,1059
1000,2,2017,1185
1000,2,2018,1860
1000,2,2019,2211
1000,2,2020,1712
1000,2,2021,1618
1000,2,2022,2059
1000,2,2023,1380
1000,2,2024,1446
1000,2,2025,3304
1000,2,2026,2431
1000,3,2012,1148
1000,3,2013,1038
1000,3,2014,939
1000,3,2015,1217
1000,3,2016,1056
1000,3,2017,1182
1000,3,2018,1848
1000,3,2019,2195
1000,3,2020,1699
1000,3,2021,1596
1000,3,2022,2034
1000,3,2023,1366
1000,3,2024,1438
1000,3,2025,3265
1000,3,2026,2389
1500,1,2012,1143
1500,1,2013,1031
1500,1,2014,947
1500,1,2015,1222
1500,1,2016,1056
1500,1,2017,1165
1500,1,2018,1839
1500,1,2019,2157
1500,1,2020,1690
1500,1,2021,1604
1500,1,2022,2048
1500,1,2023,1376
1500,1,2024,1412
1500,1,2025,3244
1500,1,2026,2390
1500,2,2012,1129
1500,2,2013,1013
1500,2,2014,932
1500,2,2015,1206
1500,2,2016,1045
1500,2,2017,1143
1500,2,2018,1812
1500,2,2019,2126
1500,2,2020,1676
1500,2,2021,1573
1500,2,2022,2003
1500,2,2023,1356
1500,2,2024,1395
1500,2,2025,3180
1500,2,2026,2344
1500,3,2012,1115
1500,3,2013,1008
1500,3,2014,917
1500,3,2015,1196
1500,3,2016,1040
1500,3,2017,1140
1500,3,2018,1804
1500,3,2019,2101
1500,3,2020,1658
1500,3,2021,1544
1500,3,2022,1967
1500,3,2023,1342
1500,3,2024,1384
1500,3,2025,3120
1500,3,2026,2293
2000,1,2012,1117
2000,1,2013,1012
2000,1,2014,937
2000,1,2015,1209
2000,1,2016,1050
2000,1,2017,1136
2000,1,2018,1803
2000,1,2019,2108
2000,1,2020,1670
2000,1,2021,1587
2000,1,2022,2022
2000,1,2023,1363
2000,1,2024,1388
2000,1,2025,3159
2000,1,2026,2344
2000,2,2012,1100
2000,2,2013,993
2000,2,2014,916
2000,2,2015,1192
2000,2,2016,1039
2000,2,2017,1110
2000,2,2018,1776
2000,2,2019,2062
2000,2,2020,1653
2000,2,2021,1549
2000,2,2022,1971
2000,2,2023,1342
2000,2,2024,1369
2000,2,2025,3085
2000,2,2026,2292
2000,3,2012,1082
2000,3,2013,986
2000,3,2014,899
2000,3,2015,1179
2000,3,2016,1033
2000,3,2017,1105
2000,3,2018,1765
2000,3,2019,2033
2000,3,2020,1633
2000,3,2021,1518
2000,3,2022,1924
2000,3,2023,1324
2000,3,2024,1354
2000,3,2025,3016
2000,3,2026,2239
