year,month,detections,event_days,new_events,frp_sum,days,largest_event_detections
2012,1,8,7,7,28.1,12,2
2012,2,94,62,60,815.9,29,7
2012,3,1064,534,503,6502.7,31,29
2012,4,73,49,46,314.2,30,6
2012,5,118,83,75,709.0,31,9
2012,6,42,29,29,261.5,30,5
2012,7,157,68,68,247.8,31,18
2012,8,72,50,48,137.8,31,5
2012,9,149,106,101,588.0,30,10
2012,10,90,61,57,368.9,31,7
2012,11,194,132,123,464.1,30,9
2012,12,20,15,12,34.9,31,4
2013,1,10,6,6,21.6,31,3
2013,2,174,117,110,940.1,28,6
2013,3,423,193,173,2581.4,31,79
2013,4,455,173,151,3241.3,30,44
2013,5,67,49,47,236.6,31,6
2013,6,123,66,63,517.2,30,11
2013,7,416,181,166,1095.6,31,43
2013,8,86,60,56,301.8,31,6
2013,9,105,75,69,413.5,30,4
2013,10,46,39,38,162.7,31,5
2013,11,147,107,103,384.6,30,9
2013,12,44,31,31,170.8,31,5
2014,1,47,15,9,321.7,31,33
2014,2,21,17,17,75.2,28,2
2014,3,454,296,269,2216.0,31,7
2014,4,185,124,123,1071.7,30,8
2014,5,62,32,28,411.7,31,22
2014,6,92,55,46,408.4,30,25
2014,7,144,100,97,415.6,31,7
2014,8,123,74,66,391.7,31,11
2014,9,151,115,108,404.2,30,7
2014,10,83,57,49,375.3,31,12
2014,11,180,109,99,492.0,30,19
2014,12,36,22,21,103.6,31,6
2015,1,44,31,28,204.6,31,5
2015,2,90,66,63,575.9,28,6
2015,3,268,185,180,1224.7,31,6
2015,4,724,419,384,4710.7,30,45
2015,5,42,35,34,107.0,31,5
2015,6,114,81,76,418.8,30,6
2015,7,98,63,60,252.6,31,8
2015,8,74,53,50,188.9,31,7
2015,9,152,108,102,640.8,30,8
2015,10,195,131,121,898.8,31,9
2015,11,153,99,95,346.3,30,12
2015,12,16,13,13,47.9,31,4
2016,1,16,13,13,43.5,31,3
2016,2,101,69,67,430.9,29,6
2016,3,249,172,164,1358.4,31,7
2016,4,132,81,75,626.5,30,11
2016,5,140,72,69,774.0,31,26
2016,6,85,53,50,458.9,30,15
2016,7,100,73,70,259.9,31,9
2016,8,307,190,180,1200.6,31,12
2016,9,154,108,102,535.2,30,6
2016,10,145,98,92,573.2,31,14
2016,11,185,146,143,295.6,30,5
2016,12,30,22,20,70.1,31,4
2017,1,56,35,29,172.3,31,16
2017,2,97,44,37,536.4,28,13
2017,3,504,312,278,2474.5,31,12
2017,4,286,192,174,1723.8,30,12
2017,5,437,152,136,2597.4,31,66
2017,6,65,50,48,166.1,30,5
2017,7,370,136,135,606.4,31,36
2017,8,104,75,74,323.4,31,5
2017,9,74,46,40,221.0,30,8
2017,10,62,49,48,167.0,31,4
2017,11,195,127,124,354.7,30,7
2017,12,22,20,20,71.8,31,2
2018,1,13,10,10,43.9,31,3
2018,2,161,98,95,668.4,28,17
2018,3,227,124,120,1372.5,31,12
2018,4,416,192,186,2682.2,30,96
2018,5,629,231,222,3261.4,31,158
2018,6,1406,193,170,10398.5,30,909
2018,7,1663,453,395,8165.3,31,110
2018,8,343,160,154,1411.9,31,29
2018,9,283,154,144,1338.7,30,19
2018,10,400,222,210,2023.4,31,16
2018,11,171,90,86,456.0,30,14
2018,12,38,21,20,127.3,31,7
2019,1,156,98,93,672.2,31,7
2019,2,1145,521,439,6811.7,28,51
2019,3,517,266,239,2906.6,31,36
2019,4,1904,503,446,13235.8,30,93
2019,5,774,152,145,7538.4,31,514
2019,6,89,60,58,190.8,30,8
2019,7,223,149,147,921.8,31,8
2019,8,330,195,190,1148.2,31,10
2019,9,395,208,191,1279.8,30,26
2019,10,165,81,80,523.3,31,11
2019,11,163,90,89,228.2,30,10
2019,12,12,9,9,38.2,31,2
2020,1,114,80,71,471.9,31,8
2020,2,100,59,57,531.6,29,6
2020,3,580,281,247,3161.1,31,108
2020,4,1143,368,345,6669.1,30,174
2020,5,741,306,296,4245.5,31,126
2020,6,237,126,118,814.2,30,17
2020,7,230,144,140,516.8,31,6
2020,8,212,143,138,915.0,31,8
2020,9,266,171,166,1016.6,30,10
2020,10,30,24,24,62.3,31,3
2020,11,123,73,69,471.1,30,11
2020,12,5,5,5,10.2,31,1
2021,1,12,10,10,36.0,31,2
2021,2,469,148,138,2686.7,28,75
2021,3,523,364,327,2680.6,31,9
2021,4,727,387,368,3577.1,30,38
2021,5,99,61,60,368.8,31,8
2021,6,166,117,105,606.3,30,14
2021,7,253,159,158,869.1,31,12
2021,8,126,83,81,376.1,31,11
2021,9,327,194,185,1025.7,30,11
2021,10,96,60,57,309.9,31,8
2021,11,154,82,76,386.0,30,14
2021,12,8,8,8,23.0,31,1
2022,1,279,118,106,3436.3,31,105
2022,2,136,76,71,567.6,28,8
2022,3,2380,818,688,15468.4,31,107
2022,4,333,139,135,3133.6,30,58
