source,start,end,rows,fetched_at
VIIRS_SNPP_SP,2018-06-24 00:00:00,2018-06-28 00:00:00,827,2026-08-24T13:28:51+00:00
VIIRS_SNPP_SP,2018-06-29 00:00:00,2018-07-03 00:00:00,898,2026-08-24T13:28:51+00:00
VIIRS_SNPP_SP,2012-01-20,2012-01-24,61,2026-08-24T13:29:38+00:00
VIIRS_SNPP_SP,2012-01-25,2012-01-29,68,2026-08-24T13:29:39+00:00
VIIRS_SNPP_SP,2012-01-30,2012-02-03,89,2026-08-24T13:29:40+00:00
VIIRS_SNPP_SP,2012-02-04,2012-02-08,82,2026-08-24T13:29:41+00:00
VIIRS_SNPP_SP,2012-02-09,2012-02-13,34,2026-08-24T13:29:41+00:00
VIIRS_SNPP_SP,2012-02-14,2012-02-18,35,2026-08-24T13:29:42+00:00
VIIRS_SNPP_SP,2012-02-19,2012-02-23,69,2026-08-24T13:29:44+00:00
VIIRS_SNPP_SP,2012-02-24,2012-02-28,96,2026-08-24T13:29:45+00:00
VIIRS_SNPP_SP,2012-02-29,2012-03-04,130,2026-08-24T13:29:46+00:00
VIIRS_SNPP_SP,2012-03-05,2012-03-09,137,2026-08-24T13:29:47+00:00
VIIRS_SNPP_SP,2012-03-10,2012-03-14,208,2026-08-24T13:29:48+00:00
VIIRS_SNPP_SP,2012-03-15,2012-03-19,134,2026-08-24T13:29:48+00:00
VIIRS_SNPP_SP,2012-03-20,2012-03-24,327,2026-08-24T13:29:51+00:00
VIIRS_SNPP_SP,2012-03-25,2012-03-29,663,2026-08-24T13:29:51+00:00
VIIRS_SNPP_SP,2012-03-30,2012-04-03,274,2026-08-24T13:29:52+00:00
VIIRS_SNPP_SP,2012-04-04,2012-04-08,83,2026-08-24T13:29:54+00:00
VIIRS_SNPP_SP,2012-04-09,2012-04-13,77,2026-08-24T13:29:55+00:00
VIIRS_SNPP_SP,2012-04-14,2012-04-18,143,2026-08-24T13:29:58+00:00
