name,lat,lon,radius_m
Grangemouth refinery/petrochemicals,56.020,-3.700,2500
Mossmorran NGL plant,56.090,-3.320,1500
Fawley refinery,50.830,-1.340,2000
Stanlow refinery,53.280,-2.850,2000
Pembroke refinery,51.685,-4.990,2000
Port Talbot steelworks,51.565,-3.775,2500
Scunthorpe steelworks,53.590,-0.620,2500
Drax power station,53.736,-0.990,1500
Wilton / Teesside industrial,54.590,-1.130,3000
Lindsey / Humber refineries,53.635,-0.245,2500
Ratcliffe-on-Soar power station,52.865,-1.255,1500
Milford Haven LNG / Dragon,51.700,-5.020,1500
