lat,lon,n_cells,n,cal_months,year_months,years,night_share,static_type_share,radius_m,name
51.56752,-3.77234,11,37938,12,153,15,0.82,0.97,2500,Port Talbot steelworks
53.571,-0.60198,12,30540,12,176,15,0.84,0.89,2600,Scunthorpe steelworks
53.63483,-0.24529,6,10382,12,176,15,0.97,0.79,1800,Lindsey / Humber refineries
50.83262,-1.36785,5,3520,12,162,15,0.98,0.67,1700,Fawley refinery
51.68405,-5.0288,3,3497,12,165,15,0.99,0.74,1300,Milford Haven LNG / Dragon
53.3983,-1.38778,4,3088,12,172,15,0.87,0.82,1500,unnamed persistent heat source
53.33867,-1.75321,1,2832,12,169,15,0.99,0.82,1000,unnamed persistent heat source
51.39745,-3.39454,2,2502,12,167,15,1.0,0.8,1100,Aberthaw power station
56.0067,-3.6795,6,2486,12,141,15,0.79,0.57,1800,Grangemouth refinery/petrochemicals
53.4522,-1.32081,5,1783,12,112,13,0.86,0.83,1700,unnamed persistent heat source
54.62374,-1.12524,4,1578,12,44,4,0.8,0.98,1500,Wilton / Teesside industrial
54.58846,-1.14797,4,1533,12,43,5,0.96,0.99,1500,Wilton / Teesside industrial
56.09854,-3.30501,4,1366,12,73,15,0.78,0.2,1500,Mossmorran NGL plant
54.13166,-7.57919,2,1355,12,147,15,1.0,0.81,1100,Ballyconnell cement (border)
52.64109,-0.54757,2,1270,12,139,15,1.0,0.74,1100,Ketton cement works
54.58229,-1.10751,6,865,12,65,14,0.91,0.49,1800,Wilton / Teesside industrial
60.46058,-1.25697,3,780,12,101,15,0.95,0.4,1300,Sullom Voe oil terminal
51.48044,-3.13705,2,765,12,151,15,0.97,0.78,1100,"Celsa steelworks, Cardiff"
53.88877,-2.38177,2,699,12,112,15,1.0,0.64,1100,"Ribblesdale cement works, Clitheroe"
53.15114,-3.06208,4,498,12,95,15,1.0,0.5,1500,Padeswood cement works
53.73827,-0.23239,3,468,12,75,14,1.0,0.01,1300,Saltend chemicals park
54.72513,-5.76859,2,386,12,19,4,0.99,0.07,1100,unnamed persistent heat source
53.26378,-1.85549,2,371,12,97,15,1.0,0.29,1100,Hope cement works
54.95327,-1.63292,2,304,12,95,14,0.95,0.37,1100,unnamed persistent heat source
57.58113,-1.83609,4,274,12,58,15,0.8,0.02,1500,St Fergus gas terminal
53.27295,-2.84108,2,194,12,49,15,0.73,0.0,1100,Stanlow refinery
54.59563,-1.2731,2,192,12,36,11,0.98,0.0,1100,unnamed persistent heat source
51.5071,0.44707,2,159,12,42,7,0.99,0.07,1100,unnamed persistent heat source
51.35495,-0.47342,2,132,12,51,11,0.0,0.09,1100,unnamed persistent heat source
54.61543,-1.19257,3,115,10,26,14,0.62,0.03,1300,Wilton / Teesside industrial
54.10242,-3.18459,2,110,12,34,13,0.91,0.02,1100,unnamed persistent heat source
51.35376,0.04838,1,98,10,35,8,0.54,0.04,1000,unnamed persistent heat source
50.9186,-1.39095,2,96,11,35,5,1.0,0.86,1100,Marchwood energy-from-waste
51.54478,-0.4197,2,84,12,33,6,0.0,0.0,1100,unnamed persistent heat source
51.58984,-0.5966,1,79,12,23,7,1.0,0.0,1000,"Lakeside energy-from-waste, Slough"
50.88113,-1.0777,2,75,6,20,12,0.01,0.0,1100,unnamed persistent heat source
53.1037,-2.47243,1,74,6,43,15,0.0,0.0,1000,unnamed persistent heat source
51.81806,-4.91908,2,61,4,17,10,0.0,0.0,1100,unnamed persistent heat source
53.77326,-2.80961,2,58,3,17,10,0.0,0.0,1100,unnamed persistent heat source
51.17475,-0.21283,2,57,7,16,7,0.9,0.0,1100,unnamed persistent heat source
51.73097,-0.14281,1,56,9,17,5,0.93,0.0,1000,unnamed persistent heat source
51.7394,-5.06292,2,56,10,18,3,1.0,0.82,1100,Milford Haven LNG / Dragon
53.65257,-2.88564,1,55,12,30,11,1.0,0.0,1000,unnamed persistent heat source
52.84367,-1.68216,1,53,4,22,8,0.0,0.0,1000,unnamed persistent heat source
51.39126,-0.16795,1,50,10,26,5,1.0,0.0,1000,Beddington energy-from-waste
52.73535,-2.70642,1,50,3,17,10,0.0,0.0,1000,unnamed persistent heat source
53.27271,-1.19927,1,49,10,22,9,1.0,0.0,1000,unnamed persistent heat source
50.93138,-0.74388,1,49,10,31,11,1.0,0.0,1000,unnamed persistent heat source
52.26765,-0.42435,1,49,5,23,10,0.0,0.0,1000,unnamed persistent heat source
52.72475,-2.43934,1,44,7,27,13,0.02,0.0,1000,unnamed persistent heat source
51.93981,0.00306,1,43,10,20,8,0.35,0.0,1000,unnamed persistent heat source
51.51415,0.10547,1,43,10,17,5,1.0,0.02,1000,"Riverside energy-from-waste, Belvedere"
51.86546,0.82823,1,40,7,15,8,1.0,0.0,1000,unnamed persistent heat source
50.83037,-1.19611,1,36,3,16,11,0.0,0.0,1000,unnamed persistent heat source
52.52698,-2.40432,1,35,5,25,14,0.0,0.0,1000,unnamed persistent heat source
52.10226,-0.07837,1,34,4,18,9,0.0,0.0,1000,unnamed persistent heat source
51.60838,0.25796,1,33,11,22,7,0.09,0.0,1000,unnamed persistent heat source
51.16726,0.80727,1,33,4,18,9,0.0,0.0,1000,unnamed persistent heat source
51.8247,0.71859,1,32,3,16,9,0.0,0.0,1000,unnamed persistent heat source
51.98147,-0.75771,1,32,9,16,6,1.0,0.0,1000,unnamed persistent heat source
52.60662,1.31614,1,32,3,17,9,0.0,0.0,1000,unnamed persistent heat source
56.03489,-3.69464,1,31,11,20,6,1.0,0.65,1000,Grangemouth refinery/petrochemicals
52.33995,0.44364,1,30,8,9,2,0.47,0.0,1000,unnamed persistent heat source
51.82641,1.09403,1,30,3,15,8,0.0,0.0,1000,unnamed persistent heat source
53.60422,-1.43489,1,29,10,18,4,0.9,0.0,1000,unnamed persistent heat source
57.69694,-4.15993,1,28,6,18,9,0.11,0.0,1000,unnamed persistent heat source
50.86235,-0.79073,1,28,4,18,10,0.0,0.0,1000,unnamed persistent heat source
50.86635,0.42449,1,27,3,15,8,0.0,0.0,1000,unnamed persistent heat source
51.69217,0.28793,1,27,8,15,8,0.37,0.0,1000,unnamed persistent heat source
54.84388,-5.78452,1,26,8,12,6,1.0,0.0,1000,Ballylumford / Kilroot
51.72725,-1.91886,1,25,3,15,10,0.0,0.0,1000,unnamed persistent heat source
50.15365,-5.11256,1,25,10,18,8,0.12,0.0,1000,unnamed persistent heat source
53.4833,-2.43562,1,25,10,14,5,0.0,0.0,1000,unnamed persistent heat source
51.35173,1.36881,1,25,3,17,12,0.0,0.0,1000,unnamed persistent heat source
53.42161,-2.3965,1,24,6,16,11,0.96,0.0,1000,unnamed persistent heat source
51.82572,-0.05387,1,22,8,12,3,1.0,0.0,1000,unnamed persistent heat source
52.4854,-1.78358,1,22,5,16,10,0.0,0.0,1000,unnamed persistent heat source
